fixture	document_bytes	operation	wall_ms	allocs	alloc_bytes	heap_before	heap_after
single-2m	2097152	first-paint	9.399	34843	11575488	26987088	38562576
single-2m	2097153	insert-near-9m	4.380	21518	2383880	35820392	27066400
single-2m	2097152	selection-visible	27.196	86005	44462880	35837488	66396336
single-2m	2097152	long-line-chunk-walk	1315.674	4302198	1465337800	71045064	130520784
single-2m	2097152	scroll-top-bottom	8.355	33227	11364264	71928608	83292872
