fixture	document_bytes	operation	wall_ms	allocs	alloc_bytes	heap_before	heap_after
source-mixed-100k	102400	first-paint	77.332	234062	64040840	236083400	300124240
source-mixed-100k	102401	insert-middle	542.054	2331811	302229120	300745432	319962744
source-mixed-100k	204800	paste-100k	781.355	2875628	578552928	250428384	331237112
source-mixed-100k	102400	selection-visible	165.854	469519	125516992	472749480	598266472
source-mixed-100k	102400	scroll-top-bottom	100.623	234062	64040840	489926944	553967784
source-mixed-100k	102400	resize	110.366	234062	64040840	585030816	649071656
